CustomerID,Cluster
C0001,2
C0002,1
C0003,1
C0004,0
C0005,1
C0006,2
C0007,1
C0008,0
C0009,3
C0010,1
C0011,2
C0012,2
C0013,0
C0014,3
C0015,3
C0016,2
C0017,0
C0018,2
C0019,1
C0020,3
C0021,0
C0022,2
C0023,2
C0024,2
C0025,1
C0026,1
C0027,1
C0028,0
C0029,1
C0030,1
C0031,1
C0032,3
C0033,3
C0034,2
C0035,1
C0036,1
C0037,2
C0038,1
C0039,2
C0040,1
C0041,0
C0042,1
C0043,3
C0044,1
C0045,0
C0046,0
C0047,2
C0048,2
C0049,2
C0050,1
C0051,0
C0052,1
C0053,2
C0054,0
C0055,1
C0056,1
C0057,2
C0058,3
C0059,0
C0060,3
C0061,1
C0062,1
C0063,3
C0064,2
C0065,0
C0066,1
C0067,2
C0068,0
C0069,1
C0070,1
C0071,3
C0072,1
C0073,1
C0074,1
C0075,0
C0076,1
C0077,3
C0078,3
C0079,2
C0080,3
C0081,2
C0082,0
C0083,3
C0084,0
C0085,1
C0086,1
C0087,0
C0088,1
C0089,1
C0090,2
C0091,2
C0092,1
C0093,0
C0094,1
C0095,3
C0096,2
C0097,3
C0098,2
C0099,0
C0100,2
C0101,0
C0102,0
C0103,1
C0104,0
C0105,2
C0106,1
C0107,2
C0108,2
C0109,0
C0110,3
C0111,1
C0112,1
C0113,0
C0114,2
C0115,1
C0116,2
C0117,1
C0118,2
C0119,1
C0120,1
C0121,1
C0122,2
C0123,3
C0124,2
C0125,1
C0126,2
C0127,2
C0128,3
C0129,1
C0130,3
C0131,1
C0132,1
C0133,1
C0134,1
C0135,1
C0136,2
C0137,2
C0138,2
C0139,2
C0140,3
C0141,0
C0142,1
C0143,0
C0144,3
C0145,0
C0146,1
C0147,2
C0148,2
C0149,2
C0150,3
C0151,3
C0152,2
C0153,2
C0154,2
C0155,0
C0156,0
C0157,1
C0158,1
C0159,1
C0160,1
C0161,2
C0162,0
C0163,2
C0164,1
C0165,0
C0166,1
C0167,1
C0168,2
C0169,2
C0170,2
C0171,2
C0172,1
C0173,0
C0174,1
C0175,0
C0176,1
C0177,1
C0178,1
C0179,2
C0180,3
C0181,2
C0182,2
C0183,2
C0184,2
C0185,1
C0186,1
C0187,2
C0188,0
C0189,1
C0190,1
C0191,1
C0192,1
C0193,1
C0194,2
C0195,2
C0196,2
C0197,1
C0198,3
C0199,1
C0200,2
